"NodeId","OutDegree","InDegree","TotalActivity"
"4124","50","123","173"
"5233","24","149","173"
"2790","173","0","173"
"2707","103","70","173"
"3238","28","145","173"
"46","59","113","172"
"2594","45","127","172"
"3258","95","76","171"
"2381","71","100","171"
"946","110","61","171"
"2674","103","67","170"
"6832","0","170","170"
"3404","89","81","170"
"4666","24","145","169"
"704","81","87","168"
"2700","168","0","168"
"3034","38","130","168"
"1521","99","67","166"
"313","54","112","166"
"3457","166","0","166"
"5806","83","82","165"
"1982","29","136","165"
"856","91","74","165"
"8293","0","164","164"
"2660","164","0","164"
"299","0","163","163"
"1385","35","128","163"
"521","5","158","163"
"255","86","76","162"
"2623","108","54","162"
"4795","73","89","162"
"1615","162","0","162"
"3813","94","68","162"
"5822","98","64","162"
"3479","102","59","161"
"3005","28","133","161"
"3443","20","141","161"
"6618","91","69","160"
"697","100","60","160"
"6615","160","0","160"
"1006","138","22","160"
"247","11","149","160"
"978","65","95","160"
"27","102","58","160"
"3144","88","72","160"
"1487","117","42","159"
"1701","112","47","159"
"634","150","9","159"
"3643","44","115","159"
"127","132","27","159"
"2547","105","52","157"
"5404","40","117","157"
"1137","135","22","157"
"6784","42","115","157"
"686","83","73","156"
"1470","156","0","156"
"1734","55","101","156"
"2747","79","77","156"
"2619","46","110","156"
"3024","52","104","156"
"55","64","91","155"
"2174","65","89","154"
"5773","75","78","153"
"2774","46","107","153"
"431","0","152","152"
"136","99","53","152"
"5185","152","0","152"
"1267","61","90","151"
"707","123","28","151"
"5714","44","107","151"
"71","109","42","151"
"5655","139","11","150"
"4044","89","61","150"
"3812","53","97","150"
"4041","68","82","150"
"2593","32","118","150"
"4824","101","48","149"
"2229","143","5","148"
"4964","60","88","148"
"4036","147","0","147"
"1029","135","12","147"
"1842","0","147","147"
"941","80","66","146"
"4219","112","34","146"
"6714","100","46","146"
"3691","95","51","146"
"47","146","0","146"
"348","21","125","146"
"6555","35","111","146"
"1754","23","122","145"
"5423","48","97","145"
"2258","95","50","145"
"5582","105","39","144"
"5818","67","77","144"
"2072","121","23","144"
"3666","144","0","144"
"1956","0","144","144"
"2225","34","109","143"
"221","10","133","143"
"6032","80","63","143"
"1997","88","55","143"
"204","12","131","143"
"6665","29","114","143"
"546","142","0","142"
"6934","65","77","142"
"3092","81","61","142"
"371","117","24","141"
"266","13","128","141"
"3724","93","48","141"
"4717","62","78","140"
"282","39","101","140"
"23","74","66","140"
"4981","53","87","140"
"3854","82","58","140"
"1621","80","59","139"
"1522","139","0","139"
"1538","81","58","139"
"5020","139","0","139"
"5817","75","63","138"
"829","0","137","137"
"1769","67","70","137"
"579","4","133","137"
"5811","79","58","137"
"1835","73","64","137"
"6774","24","113","137"
"3635","63","74","137"
"1236","103","34","137"
"2851","44","92","136"
"5178","19","117","136"
"224","13","123","136"
"14","114","22","136"
"2696","64","72","136"
"3956","85","51","136"
"5262","59","76","135"
"1622","50","85","135"
"805","90","45","135"
"4448","36","99","135"
"6913","44","90","134"
"4297","38","96","134"
"1097","88","46","134"
"2144","23","111","134"
"259","56","78","134"
"178","63","70","133"
"5301","61","71","132"
"5998","81","50","131"
"3645","40","90","130"
"2133","129","1","130"
"3541","81","49","130"
"1193","31","99","130"
"2508","13","117","130"
"974","36","93","129"
"3027","39","90","129"
"2231","66","63","129"
"3969","90","39","129"
"3274","69","59","128"
"2117","23","105","128"
"1799","48","80","128"
"4338","40","88","128"
"1247","77","50","127"
"279","0","127","127"
"5288","0","126","126"
"5839","41","85","126"
"706","95","31","126"
"59","94","32","126"
"2697","45","81","126"
"5263","75","51","126"
"2746","25","101","126"
"4247","0","126","126"
"2727","33","93","126"
"315","77","49","126"
"2264","58","67","125"
"75","31","94","125"
"5871","50","75","125"
"17","45","80","125"
"304","79","46","125"
"1201","35","90","125"
"3","23","102","125"
"1847","47","77","124"
"4138","64","60","124"
"2822","43","81","124"
"7809","0","124","124"
"1555","79","45","124"
"2842","124","0","124"
"4587","27","97","124"
"4687","23","101","124"
"2940","123","0","123"
"74","69","54","123"
"3010","123","0","123"
"172","123","0","123"
"171","70","53","123"
"7086","123","0","123"
"695","118","5","123"
"216","8","114","122"
"3402","122","0","122"
"5173","122","0","122"
"6523","33","89","122"
"3843","18","104","122"
"879","122","0","122"
"2909","57","65","122"
"2276","32","90","122"
"763","68","54","122"
"4792","62","60","122"
"6272","76","46","122"
"1111","60","62","122"
"2120","122","0","122"
"425","79","42","121"
"3455","68","53","121"
"556","121","0","121"
"5445","63","58","121"
"2257","49","72","121"
"391","1","120","121"
"3755","0","121","121"
"742","93","28","121"
"2932","62","59","121"
"2114","39","82","121"
"2384","72","49","121"
"7225","47","74","121"
"5872","27","93","120"
"3033","45","75","120"
"971","72","48","120"
"2290","120","0","120"
"5321","32","88","120"
"2354","1","118","119"
"937","46","73","119"
"1688","25","94","119"
"5739","45","74","119"
"5775","42","77","119"
"168","9","110","119"
"7057","118","0","118"
"1697","70","48","118"
"1661","66","52","118"
"8295","0","118","118"
"5028","43","74","117"
"2506","46","71","117"
"4574","40","77","117"
"1855","12","105","117"
"2831","39","78","117"
"1350","117","0","117"
"3191","68","48","116"
"417","9","107","116"
"365","8","108","116"
"4261","24","92","116"
"3458","69","47","116"
"2923","35","81","116"
"5819","61","55","116"
"608","3","113","116"
"1471","72","44","116"
"1453","0","116","116"
"6414","21","94","115"
"1135","115","0","115"
"4073","115","0","115"
"3059","32","83","115"
"857","0","115","115"
"3461","101","13","114"
"2356","57","57","114"
"2605","64","50","114"
"2595","49","65","114"
"4547","45","69","114"
"1594","114","0","114"
"2118","113","0","113"
"6123","24","89","113"
"788","113","0","113"
"2375","49","64","113"
"1286","65","48","113"
"502","4","109","113"
"151","74","39","113"
"1164","39","73","112"
"25","90","22","112"
"1583","87","25","112"
"3408","0","112","112"
"3958","15","97","112"
"2655","49","63","112"
"2251","25","87","112"
"2252","22","90","112"
"2646","39","72","111"
"182","79","32","111"
"1783","57","54","111"
"1489","64","47","111"
"4070","111","0","111"
"6993","81","30","111"
"326","12","99","111"
"3253","0","110","110"
"3516","0","110","110"
"2456","31","79","110"
"1888","36","73","109"
"896","26","83","109"
"2981","44","65","109"
"871","59","50","109"
"4212","53","56","109"
"5439","66","43","109"
"1966","18","91","109"
"1253","51","57","108"
"2240","108","0","108"
"51","24","84","108"
"2102","45","63","108"
"7021","15","93","108"
"2968","55","53","108"
"5529","39","69","108"
"5563","2","106","108"
"3748","30","77","107"
"1200","107","0","107"
"6156","22","85","107"
"94","80","27","107"
"12","65","42","107"
"3417","30","77","107"
"1074","95","11","106"
"152","21","85","106"
"3321","18","88","106"
"465","17","89","106"
"1482","26","79","105"
"199","17","88","105"
"6979","0","105","105"
"3009","51","54","105"
"66","44","61","105"
"791","41","64","105"
"710","105","0","105"
"8294","0","105","105"
"1075","74","31","105"
"5449","0","104","104"
"749","66","38","104"
"1705","47","57","104"
"372","4","100","104"
"6619","104","0","104"
"665","7","97","104"
"4040","104","0","104"
"6241","75","29","104"
"411","1","102","103"
"2473","103","0","103"
"4011","0","103","103"
"314","1","102","103"
"6218","53","50","103"
"677","2","101","103"
"3962","4","99","103"
"383","45","57","102"
"2209","31","71","102"
"6976","41","61","102"
"5596","30","72","102"
"2507","69","33","102"
"4846","34","68","102"
"5177","101","1","102"
"6494","101","0","101"
"1514","0","101","101"
"2322","19","82","101"
"5605","11","90","101"
"7231","101","0","101"
"155","28","73","101"
"2001","39","62","101"
"339","80","20","100"
"4179","0","100","100"
"765","0","100","100"
"4550","100","0","100"
"2643","0","100","100"
"215","100","0","100"
"4709","25","75","100"
"4256","0","100","100"
"1992","16","83","99"
"854","99","0","99"
"368","1","98","99"
"5804","33","66","99"
"3786","99","0","99"
"212","1","97","98"
"7055","98","0","98"
"705","28","70","98"
"3587","15","83","98"
"650","98","0","98"
"7391","52","46","98"
"3451","98","0","98"
"3014","0","97","97"
"865","97","0","97"
"302","13","84","97"
"1749","68","29","97"
"1767","97","0","97"
"5106","33","64","97"
"1416","13","84","97"
"3007","15","82","97"
"4578","0","97","97"
"2285","17","79","96"
"1566","46","50","96"
"1836","16","80","96"
"576","1","95","96"
"4673","96","0","96"
"6833","1","95","96"
"2785","1","95","96"
"7414","0","95","95"
"7301","27","68","95"
"2134","14","81","95"
"26","95","0","95"
"7378","38","57","95"
"4661","19","76","95"
"110","95","0","95"
"6458","28","67","95"
"1127","62","33","95"
"6004","6","88","94"
"143","94","0","94"
"1291","34","60","94"
"7279","19","75","94"
"3015","44","50","94"
"251","8","86","94"
"4361","6","88","94"
"3892","0","94","94"
"1918","20","74","94"
"5335","0","94","94"
"4983","4","89","93"
"7587","0","93","93"
"358","0","93","93"
"166","93","0","93"
"38","14","79","93"
"429","5","88","93"
"1700","93","0","93"
"4266","11","82","93"
"6620","93","0","93"
"1893","0","93","93"
"4662","46","47","93"
"2364","14","79","93"
"5857","92","0","92"
"7478","0","92","92"
"5226","17","75","92"
"3792","27","65","92"
"332","0","92","92"
"3607","24","68","92"
"4276","52","40","92"
"5799","23","69","92"
"7131","24","68","92"
"1185","43","49","92"
"3265","0","92","92"
"3125","16","75","91"
"6736","33","58","91"
"4764","53","38","91"
"1792","31","60","91"
"1419","41","50","91"
"4071","17","74","91"
"1991","66","25","91"
"5743","0","91","91"
"959","12","78","90"
"1384","37","53","90"
"1221","77","13","90"
"2416","37","53","90"
"1820","90","0","90"
"5963","0","90","90"
"3148","26","64","90"
"6918","29","61","90"
"7054","40","50","90"
"2912","33","57","90"
"3297","51","39","90"
"4748","38","52","90"
"1729","19","70","89"
"5812","41","48","89"
"3661","36","53","89"
"2618","53","36","89"
"6043","39","50","89"
"52","1","88","89"
"4162","16","73","89"
"2324","3","86","89"
"4781","27","62","89"
"7280","89","0","89"
"3803","10","79","89"
"6229","19","70","89"
"113","89","0","89"
"4046","89","0","89"
"1811","43","46","89"
"42","89","0","89"
"1756","89","0","89"
"3965","89","0","89"
"1537","68","20","88"
"5199","22","66","88"
"6270","88","0","88"
"2517","5","83","88"
"7115","0","88","88"
"4315","29","59","88"
"5829","12","76","88"
"626","31","57","88"
"1525","35","52","87"
"4488","50","37","87"
"3557","10","77","87"
"4201","2","85","87"
"1307","0","87","87"
"1031","19","68","87"
"3660","87","0","87"
"2872","87","0","87"
"3473","0","87","87"
"5886","0","87","87"
"6097","26","61","87"
"243","2","84","86"
"1037","86","0","86"
"5902","1","85","86"
"1571","24","62","86"
"4076","86","0","86"
"10","86","0","86"
"6496","0","85","85"
"5457","44","41","85"
"2689","38","47","85"
"6486","85","0","85"
"3728","85","0","85"
"7908","0","85","85"
"5110","84","0","84"
"643","46","38","84"
"6772","77","7","84"
"7961","0","84","84"
"5454","19","65","84"
"5816","84","0","84"
"4151","84","0","84"
"1157","2","82","84"
"3835","35","49","84"
"3806","45","38","83"
"1823","49","34","83"
"3056","44","39","83"
"3136","0","83","83"
"513","4","79","83"
"5624","28","55","83"
"6855","14","69","83"
"2877","0","82","82"
"453","1","81","82"
"403","20","62","82"
"334","41","41","82"
"1744","8","74","82"
"39","41","41","82"
"103","68","14","82"
"2559","82","0","82"
"4384","0","82","82"
"4531","14","68","82"
"761","8","74","82"
"1977","34","48","82"
"2819","18","64","82"
"494","3","78","81"
"4055","3","78","81"
"6359","81","0","81"
"1679","0","81","81"
"5452","17","64","81"
"1733","42","39","81"
"6715","0","81","81"
"3307","0","81","81"
"2433","2","79","81"
"698","11","70","81"
"9","81","0","81"
"4463","0","81","81"
"1552","81","0","81"
"644","27","54","81"
"3873","4","77","81"
"8174","0","80","80"
"1234","16","64","80"
"4013","21","59","80"
"2794","0","80","80"
"795","60","20","80"
"759","77","3","80"
"128","80","0","80"
"4353","80","0","80"
"5190","80","0","80"
"5246","44","36","80"
"2702","80","0","80"
"1564","27","53","80"
"3018","19","61","80"
"1497","28","52","80"
"244","4","75","79"
"7699","0","79","79"
"154","61","18","79"
"1184","79","0","79"
"3463","56","23","79"
"7386","25","54","79"
"404","5","74","79"
"1612","68","11","79"
"6306","0","79","79"
"3168","79","0","79"
"4894","79","0","79"
"2612","29","50","79"
"439","8","70","78"
"2365","77","1","78"
"4811","0","78","78"
"5155","24","54","78"
"6243","35","43","78"
"4021","0","78","78"
"994","45","33","78"
"4829","78","0","78"
"5055","0","78","78"
"7233","22","56","78"
"1723","1","76","77"
"1985","56","21","77"
"7063","16","61","77"
"1285","31","46","77"
"3284","20","57","77"
"4077","77","0","77"
"2557","77","0","77"
"451","1","76","77"
"2811","19","58","77"
"2289","14","63","77"
"3002","5","72","77"
"986","77","0","77"
"1261","8","69","77"
"5683","0","77","77"
"1049","3","74","77"
"982","47","30","77"
"303","3","74","77"
"280","76","0","76"
"844","45","31","76"
"4144","76","0","76"
"21","76","0","76"
"1284","20","56","76"
"4485","12","64","76"
"6221","31","45","76"
"1748","76","0","76"
"2016","13","63","76"
"4994","19","57","76"
"2856","5","71","76"
"1035","12","64","76"
"6044","2","73","75"
"1353","30","45","75"
"2704","75","0","75"
"5037","18","57","75"
"5947","0","75","75"
"6323","44","31","75"
"3682","75","0","75"
"341","47","28","75"
"6869","1","74","75"
"2472","75","0","75"
"2236","75","0","75"
"3393","10","65","75"
"4072","29","46","75"
"229","0","75","75"
"1248","21","54","75"
"4211","65","10","75"
"6875","15","59","74"
"1024","41","33","74"
"262","0","74","74"
"5828","0","74","74"
"5827","15","59","74"
"1506","41","33","74"
"6417","0","74","74"
"4929","9","65","74"
"2699","74","0","74"
"6347","11","63","74"
"5182","14","59","73"
"4424","0","73","73"
"4827","1","72","73"
"2963","0","73","73"
"257","8","65","73"
"147","58","15","73"
"5824","41","32","73"
"5932","33","40","73"
"2592","13","60","73"
"4534","19","54","73"
"4999","0","73","73"
"1378","14","59","73"
"6151","13","60","73"
"545","24","49","73"
"1614","73","0","73"
"6422","11","62","73"
"283","2","71","73"
"397","1","71","72"
"125","29","43","72"
"3529","0","72","72"
"138","72","0","72"
"5295","22","50","72"
"1596","29","43","72"
"2973","0","72","72"
"5482","12","60","72"
"5092","0","72","72"
"2754","0","72","72"
"3103","5","67","72"
"4401","9","63","72"
"90","72","0","72"
"1377","33","39","72"
"5684","18","54","72"
"3903","0","72","72"
"764","34","37","71"
"564","15","56","71"
"290","71","0","71"
"6337","0","71","71"
"3489","0","71","71"
"256","10","61","71"
"4598","71","0","71"
"2685","0","71","71"
"5479","28","43","71"
"3073","34","37","71"
"1322","12","59","71"
"6124","0","71","71"
"5204","0","71","71"
"8192","0","71","71"
"3522","71","0","71"
"8291","0","71","71"
"3898","2","69","71"
"2549","70","0","70"
"1648","0","70","70"
"4269","3","67","70"
"321","27","43","70"
"4437","70","0","70"
"1413","0","70","70"
"3752","15","55","70"
"325","25","45","70"
"947","27","43","70"
"2964","70","0","70"
"7080","70","0","70"
"2193","12","58","70"
"1403","3","67","70"
"6443","70","0","70"
"3346","5","65","70"
"415","4","66","70"
"5273","12","58","70"
"1706","4","66","70"
"5844","0","69","69"
"249","15","54","69"
"2397","0","69","69"
"1278","69","0","69"
"5072","3","66","69"
"192","19","50","69"
"2109","47","22","69"
"7839","0","69","69"
"2768","40","29","69"
"5545","0","69","69"
"4797","0","69","69"
"4127","41","28","69"
"2510","68","0","68"
"2544","11","57","68"
"2951","19","49","68"
"2128","3","65","68"
"1964","13","55","68"
"935","22","46","68"
"679","3","65","68"
"2129","44","24","68"
"4355","50","18","68"
"5184","68","0","68"
"4715","11","57","68"
"1547","28","40","68"
"6789","11","57","68"
"2325","2","66","68"
"728","5","63","68"
"956","42","26","68"
"1592","30","38","68"
"7649","10","58","68"
"6437","0","67","67"
"1125","37","30","67"
"2299","67","0","67"
"2435","35","32","67"
"1501","38","29","67"
"2708","9","58","67"
"2071","7","60","67"
"5936","2","65","67"
"3173","7","60","67"
"817","0","67","67"
"6505","0","67","67"
"967","16","51","67"
"1915","33","34","67"
"285","6","61","67"
"139","37","30","67"
"659","14","53","67"
"96","2","65","67"
"1603","16","51","67"
"5144","0","66","66"
"647","32","34","66"
"108","2","64","66"
"2151","0","66","66"
"635","66","0","66"
"7277","4","62","66"
"5437","26","40","66"
"549","4","62","66"
"543","1","65","66"
"1202","66","0","66"
"366","14","52","66"
"1239","1","65","66"
"1259","45","21","66"
"2765","29","37","66"
"1816","10","56","66"
"7237","15","51","66"
"5612","66","0","66"
"2387","66","0","66"
"4299","0","66","66"
"4263","1","65","66"
"1034","33","33","66"
"4814","20","45","65"
"37","20","45","65"
"4796","4","61","65"
"1123","0","65","65"
"1215","65","0","65"
"5392","0","65","65"
"7924","2","63","65"
"2955","0","65","65"
"5584","12","53","65"
"838","36","29","65"
"908","9","56","65"
"5925","0","64","64"
"4953","0","64","64"
"1199","2","62","64"
"4098","8","56","64"
"1053","0","64","64"
"3807","0","64","64"
"7862","11","53","64"
"7295","13","51","64"
"5083","0","64","64"
"3624","64","0","64"
"3527","64","0","64"
"84","1","63","64"
"131","0","64","64"
"756","0","64","64"
"1859","3","61","64"
"294","1","63","64"
"2617","22","42","64"
"3926","0","64","64"
"3351","0","64","64"
"3371","0","64","64"
"6098","1","62","63"
"1380","63","0","63"
"6552","29","34","63"
"4719","0","63","63"
"2009","63","0","63"
"5012","14","49","63"
"2003","63","0","63"
"3366","63","0","63"
"6441","0","63","63"
"7662","0","63","63"
"6388","0","63","63"
"3029","2","61","63"
"1718","0","63","63"
"2787","4","59","63"
"1129","62","0","62"
"3106","5","57","62"
"1241","35","27","62"
"2587","12","50","62"
"5527","2","60","62"
"5096","14","48","62"
"4175","8","54","62"
"6481","0","62","62"
"1335","62","0","62"
"1103","9","53","62"
"2763","0","62","62"
"1441","41","21","62"
"2338","6","56","62"
"2834","5","57","62"
"3251","0","62","62"
"678","1","61","62"
"356","18","43","61"
"859","13","48","61"
"1204","61","0","61"
"1203","22","39","61"
"7108","0","61","61"
"2999","7","54","61"
"5897","2","59","61"
"514","0","61","61"
"5693","0","61","61"
"1386","61","0","61"
"2703","61","0","61"
"841","61","0","61"
"3946","0","61","61"
"1774","0","61","61"
"751","1","60","61"
"1315","6","55","61"
"667","19","42","61"
"1707","34","27","61"
"5026","0","61","61"
"4706","3","58","61"
"2116","20","41","61"
"2186","61","0","61"
"19","39","22","61"
"578","1","60","61"
"5378","17","44","61"
"1646","5","56","61"
"1032","39","21","60"
"6148","0","60","60"
"8134","1","59","60"
"693","1","59","60"
"5061","13","47","60"
"7005","13","47","60"
"4365","0","60","60"
"1165","13","47","60"
"276","7","53","60"
"3871","5","55","60"
"1464","0","60","60"
"1726","0","60","60"
"3483","20","40","60"
"2014","10","50","60"
"1000","60","0","60"
"948","29","31","60"
"7381","0","60","60"
"2332","36","24","60"
"236","39","21","60"
"3390","60","0","60"
"1014","0","60","60"
"4043","0","60","60"
"3021","7","53","60"
"739","0","60","60"
"301","1","59","60"
"4688","59","0","59"
"3309","4","55","59"
"64","1","58","59"
"6566","0","59","59"
"6328","0","59","59"
"73","13","46","59"
"781","8","51","59"
"4422","15","44","59"
"5798","12","47","59"
"5671","3","56","59"
"5651","1","58","59"
"7351","2","57","59"
"2579","0","59","59"
"4233","2","57","59"
"80","59","0","59"
"5922","7","52","59"
"1781","6","52","58"
"1498","6","52","58"
"7624","0","58","58"
"6563","58","0","58"
"6460","58","0","58"
"4103","1","57","58"
"2828","0","58","58"
"5341","2","56","58"
"4713","0","58","58"
"31","15","43","58"
"318","3","55","58"
"6501","17","41","58"
"5148","0","58","58"
"241","8","50","58"
"33","24","34","58"
"1777","1","57","58"
"5891","0","58","58"
"7833","4","54","58"
"4289","0","58","58"
"2662","2","56","58"
"5637","0","58","58"
"2665","6","52","58"
"3338","3","55","58"
"4798","4","54","58"
"3919","15","42","57"
"1838","57","0","57"
"7763","0","57","57"
"6941","57","0","57"
"7443","10","47","57"
"132","29","28","57"
"7544","11","46","57"
"1573","0","57","57"
"5994","0","57","57"
"3293","10","47","57"
"689","47","10","57"
"5721","10","47","57"
"2085","28","29","57"
"5863","0","57","57"
"5928","4","53","57"
"5463","0","57","57"
"5162","5","52","57"
"1132","57","0","57"
"5073","0","57","57"
"406","34","23","57"
"4938","12","45","57"
"5738","14","43","57"
"3348","25","32","57"
"4453","0","57","57"
"6442","4","53","57"
"733","8","49","57"
"4686","57","0","57"
"3995","57","0","57"
"4528","0","57","57"
"8042","1","55","56"
"482","0","56","56"
"4432","8","48","56"
"3164","0","56","56"
"2157","0","56","56"
"133","10","46","56"
"5487","30","26","56"
"3433","9","47","56"
"2805","0","56","56"
"5432","4","52","56"
"6023","30","26","56"
"6227","2","54","56"
"275","56","0","56"
"161","32","24","56"
"887","1","55","56"
"895","6","50","56"
"1787","0","55","55"
"4347","55","0","55"
"4373","0","55","55"
"4962","0","55","55"
"5776","14","41","55"
"6246","0","55","55"
"627","0","55","55"
"3350","55","0","55"
"1667","55","0","55"
"2815","11","44","55"
"5","23","32","55"
"6262","1","54","55"
"637","25","30","55"
"5807","27","28","55"
"1393","4","51","55"
"2988","55","0","55"
"7214","0","55","55"
"2093","55","0","55"
"1908","9","46","55"
"2511","8","47","55"
"7803","0","54","54"
"568","1","53","54"
"3462","54","0","54"
"258","6","48","54"
"6510","54","0","54"
"8178","0","54","54"
"6251","0","54","54"
"6916","54","0","54"
"5102","54","0","54"
"5289","6","48","54"
"2925","19","35","54"
"6955","0","54","54"
"5285","21","33","54"
"587","18","36","54"
"6072","54","0","54"
"1484","0","54","54"
"180","54","0","54"
"5125","54","0","54"
"7795","0","54","54"
"2241","14","40","54"
"1468","20","33","53"
"1","0","53","53"
"6994","19","34","53"
"3885","2","51","53"
"6001","5","48","53"
"32","4","49","53"
"79","53","0","53"
"7168","0","53","53"
"7757","0","53","53"
"1159","2","51","53"
"2809","0","53","53"
"836","26","27","53"
"4527","14","39","53"
"893","0","53","53"
"3477","53","0","53"
"8121","0","53","53"
"7012","10","43","53"
"1483","52","0","52"
"1381","52","0","52"
"5121","9","43","52"
"7882","11","41","52"
"636","11","41","52"
"5222","1","51","52"
"3601","52","0","52"
"5053","52","0","52"
"5511","3","49","52"
"672","1","51","52"
"4884","4","48","52"
"1593","0","52","52"
"715","23","29","52"
"4613","0","52","52"
"3937","0","52","52"
"4349","0","52","52"
"853","16","36","52"
"1424","52","0","52"
"7855","0","52","52"
"4298","9","43","52"
"6595","12","40","52"
"3055","52","0","52"
"8051","8","44","52"
"6765","1","51","52"
"6498","0","52","52"
"2724","10","42","52"
"1548","4","48","52"
"6280","52","0","52"
"6613","9","43","52"
"5915","52","0","52"
"3020","52","0","52"
"708","51","0","51"
"4791","1","50","51"
"3847","0","51","51"
"7449","39","12","51"
"3726","3","48","51"
"2801","0","51","51"
"3887","0","51","51"
"142","25","26","51"
"4551","0","51","51"
"1896","51","0","51"
"3973","33","18","51"
"1758","2","49","51"
"7651","0","51","51"
"2799","8","43","51"
"7561","0","51","51"
"1018","5","46","51"
"5848","0","51","51"
"1969","0","51","51"
"7238","9","42","51"
"1837","28","23","51"
"1476","0","51","51"
"5753","4","47","51"
"5140","51","0","51"
"5239","1","49","50"
